ALA  6     107.89
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.OXT  1.4  
ARG 12     237.97
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.87 
.CD.  1.87 
.NE.  1.65 
.CZ.  1.76 
.NH1  1.65 
.NH2  1.65 
.OXT  1.4  
ASP  9     140.41
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.76 
.OD1  1.40 
.OD2  1.40 
.OXT  1.4  
ASN 11     144.07
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.76 
.OD1  1.40 
.ND2  1.65 
.AD1  1.65 
.AD2  1.65 
.OXT  1.4  
ASX  9     144.07
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.76 
.AD1  1.50 
.AD2  1.50 
.OXT  1.4  
CYS  7     134.34
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.SG.  1.85 
.OXT  1.4  
GLU 10     172.23
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.87 
.CD.  1.76 
.OE1  1.40 
.OE2  1.40 
.OXT  1.4  
PCA  8     0.0
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.87 
.CD.  1.76 
.OE.  1.40 
GLN 12     178.19
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.87 
.CD.  1.76 
.OE1  1.40 
.NE2  1.65 
.AE1  1.65 
.AE2  1.65 
.OXT  1.4  
GLX 10     178.19
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.76 
.CD.  1.87 
.AE1  1.50 
.AE2  1.50 
.OXT  1.4  
GLY  5     80.36
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.OXT  1.4  
HIS 15     182.89
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.76 
.ND1  1.65 
.CE1  1.76 
.NE2  1.65 
.CD2  1.76 
.AD1  1.76 
.AE1  1.76 
.AE2  1.76 
.AD2  1.76 
.OXT  1.4  
ILE 10     175.18
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG2  1.87 
.CG1  1.87 
.CD1  1.87 
.CD.  1.87 
.OXT  1.4  
LEU  9     178.37
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.87 
.CD1  1.87 
.CD2  1.87 
.OXT  1.4  
LYS 10     200.11
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.87 
.CD.  1.87 
.CE.  1.87 
.NZ.  1.50 
.OXT  1.4  
MET  9     193.69
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.87 
.SD.  1.85 
.CE.  1.87 
.OXT  1.4  
PHE 12     199.30
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.76 
.CD1  1.76 
.CE1  1.76 
.CZ.  1.76 
.CE2  1.76 
.CD2  1.76 
.OXT  1.4  
PRO  8     135.83
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.87 
.CD.  1.87 
.OXT  1.4  
SER  7     116.53
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.OG.  1.40 
.OXT  1.4  
THR  8     139.25
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG2  1.87 
.OG1  1.40 
.OXT  1.4  
TRP 15     249.05
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.76 
.CD1  1.76 
.NE1  1.65 
.CE2  1.76 
.CZ2  1.76 
.CH2  1.76 
.CZ3  1.76 
.CE3  1.76 
.CD2  1.76 
.OXT  1.4  
TYR 13     212.03
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG.  1.76 
.CD1  1.76 
.CE1  1.76 
.CZ.  1.76 
.CE2  1.76 
.CD2  1.76 
.OH.  1.40 
.OXT  1.4  
VAL  8     151.46
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.CB.  1.87 
.CG1  1.87 
.CG2  1.87 
.OXT  1.4  
ACE  3     114.32
.C..  1.76
.O..  1.40
.CH3  1.87          
UNK  5     
.N..  1.65 
.CA.  1.87 
.C..  1.76 
.O..  1.40 
.OXT  1.4  
G6P 16      0.0
.C1.  1.9
.C2.  1.9
.C3.  1.9
.C4.  1.9
.C5.  1.9
.C6.  1.9
.O1.  1.4
.O2.  1.4
.O3.  1.4
.O4.  1.4
.O5.  1.4
.O6.  1.4
.O7.  1.4
.O8.  1.4
.O9.  1.4
.P..  1.9
GLC 12      0.0
.C1.  1.9
.O1.  1.4
.C2.  1.9
.O2.  1.4
.C3.  1.9
.O3.  1.4
.C4.  1.9
.O4.  1.4
.C5.  1.9
.O5.  1.4
.C6.  1.9
.O6.  1.4
NAG 14      0.0
.C1.  1.9
.C2.  1.9
.C3.  1.9
.C4.  1.9
.C5.  1.9
.O5.  1.4
.O4.  1.4
.C6.  1.9
.O6.  1.4
.N2.  1.7
.C7.  1.9
.O7.  1.4
.C8.  1.9
.O3.  1.4
HET  1      0.0
.O..  1.4
HOH  1      0.0
.O..  1.4
WAT  9      0.0
.OW1  1.4
.OW2  1.4
.OW3  1.4
.OW4  1.4
.OW5  1.4
.OW6  1.4
.OW7  1.4
.OW8  1.4
.OW9  1.4
HEM 43      0.0
FE..  1.47
.CHA  2.00
.CHB  2.00
.CHC  2.00
.CHD  2.00
.N.A  1.55
.C1A  1.78
.C2A  1.78
.C3A  1.78
.C4A  1.78
.CMA  1.90
.CAA  1.90
.CBA  1.90
.CGA  1.90
.N.B  1.55
.C1B  1.78
.C2B  1.78
.C3B  1.78
.C4B  1.78
.CMB  1.90
.CAB  1.90
.CBB  1.90
.N.C  1.55
.C1C  1.78
.C2C  1.78
